,text,likes
379,黨媒不敢報導真實的水災和疫情傷亡人數，只會掩蓋事實欺騙中國大陸的老百姓，中國共產黨窮兵黷武，完全置百姓於不顧，只想侵略週邊國家，用錢收賣外國政府，可悲啊！,1
380,中國年年治水，年年淹水，已治了70年了，果效太小，想要有果效要有問責制度才能發揮效果，台灣淹水損失由政府賠償，開店淹水損失由政府賠償，車停在車場成泡水車，政府賠償，自己開進水庫裏政府不賠，大家權責分別，現在1天300公釐雨量都可不淹水。,
381,請問這麼多的流量 版主賺多錢 這是大家比較關心的 因為我們也想當網紅,1
382,天佑中國，天滅中共,
383,"前天不是某藝人造謠家人在恩施鬧水災被淹，
被出征說造謠嗎？
到底有沒有淹水 ?
我眼睛業障重，",
384,灭了也好，香港台湾人民再也不捐钱捐财给白眼狼,
385,一個天錯、地錯、人民錯，領導人永遠對的政權，還有人信真是奇蹟！,
386,昨晚一夜之間？,
387,中國人還不覺醒嗎？,1
388,現在好像很少小粉紅出來嘴了 是都被沖走了嗎,3
389,你可嘗試在片頭放YouTube的廣告，多少有收入可以幫助自己，幫助他人,2
390,想清楚  以後每年難免長江流域都會有大雨  為了救三峽大壩 都要這樣洩洪？  最糟糕的是 今年大水會帶下多少泥沙淤積於河道上 明年的平均最大排水量各河道勢必減少 水勢必擴大漫淹面積  找死啊蓋這大壩   跟黨走 XX一定有嗎,
391,小粉红一半泡在水里，一面回复：这里根本就没下雨，也没有洪水淹没,
392,共產黨這幾十年在作什麼？天佑苦難的中國！,
393,黑人的命也是命，中國人的命不是命,
394,偉災中國，美災中國!,
395,中國五千年受洪水為患，不足為奇，也不必擔心。洪水過後，帶來肥沃的土地，是好事。是禍也是福，凡事要帶正能量去觀看。,
396,建议你们起来反抗，号召全中国人，,
397,中國人滿會游泳的，老人動作也挺快速的，晚上淹大水車子都不開就跑光了,
398,中共贪官向海外洗钱至少10万亿美元 当然没钱救灾了 他们的情人一个名牌包上的扣子 就够灾民一个星期的开销 他们儿子跑车的一个车轮 就够重建农民的平房 但他们觉得灾民的命不算命 灾民也不算人 他们不仅看不起我们 还觉得勾勾手指我们就会为他们而死,
399,如果在台灣，這政黨會下台,
400,這是人禍，絳雨量2-300公厘就淹成這樣？台灣的強絳雨隨便都超過4-500公厘也沒這樣誇張，估計應該是偷偷洩洪,
401,怎麼這麼容易就淹？城市基建沒排水設施嗎？死亡人數2人？,
402,中共都把水災消息掩飾成很小，還說什麼犧牲小家換大家，人民倒楣。,
403,大水过後報復性消費隨之而來。電視氣車傢俱都要大發利市了！恭禧！幾家欢樂幾家愁。這下子不用防恐了，人民太忙了，沒時間跟你抗議。,
404,假消息，習近平不會把你們的生命財產當事，他只是會派飛機來台灣燒錢，大陸人是弱夫,
405,"赠给需要的人民
水患不除,安徽和地洼地带会永无令日!

叫安徽,贵州人民建堤. 堤是50米高两面45度,堤上面40米欢,堤中间是黄泥,砂加石头,堤两要用黑胶EPDM (rubber)2x5mm在胶外面再加上石头. epdm 何以用起过50年的.这个方法应该保贵州安徽人平安的.贵州安徽更穷都要建这个堤坝的,我赠给叫贵安徽州人民的礼物.切记:EPDM入地一米,交叠是0,5米,上面片叠在下面片,又下面做起.一定要跟这个方法去做.在水那边再放4角和六角的混凝土像鼎一样大家寸插做成不少空间,这些东西是用来破水的速度和压力.",
406,"亲爱的同胞，这是美国在我国进行的一次天气控制武器的大型实验（不明真相的群众请百度“红色警戒”），造成了我国大面积洪灾。另外，这个视频拍摄者是一名法轮功练习者，对视频内容进行了大量编辑夸大灾情，由这个港独、台独为后台的平台发出，试图对我国进行抹黑，请大家不要被这些势力洗脑。
大家一定要认清我国目前的首要任务，那就是大力发展军事力量，以南海为跳板，一举歼灭台独势力，收复台湾，拯救在国民党统治下受苦受难的，与我们有五千年血脉的华夏同胞！",1
407,"台灣某新聞直播聊天室，還是很多中國夢的韭菜自豪的很一一
所以一點也不會感覺可憐一一
以前只要有災，香港第一個捐款的，現在呢？有災自己扛吧，沒人會在理泥們了一一
報的在多，也不在有人捐款或組織救援隊過去，冬天等著吃兩腳羊吧一一",1
408,房子長期浸泡在水會不會受損？,1
409,这些我在西安、北京、上海等地的朋友好像一点也不知道，都在炫耀自己的舒适生活呢……奇怪！,2
410,不是報導，中國今年農糧豐收嗎？那不用捐了，鐵定管飽,
411,突然瀑洪？上游大壩不停洩洪 下游城鎮不斷成災。中共保證長江大壩絕不會潰堤 但依照這樣的洪災與潰堤又有何不同？？,
412,請問，這是真的嗎？我在網路上說中國有很多省市在淹水，中國很多網友他們都跟我說，中國那裏有淹水？你看到的都是西方反中人士或媒體污衊中國的，你是看到鬼？中國現在一切太平？因中國媒體不自由，流出來的消息很片段，不知道是否真的那麼嚴重？假如真的那麼嚴重，祝他們早日恢復家園，重新開始生活,
413,"這個雨量是真的超過世界發達國家公共建設的承受力了。

理論上這應該是最後一波鋒面，努力撐過去吧。撐過去就沒事了。",1
414,"假如有個小國，人口1000萬，遇到人禍大水，500萬民眾受害，他的鄰國也跟他差不多人口，鄰國的人都覺得這個小國太慘了，因為該國一半以上的人口都受害。
現在有100個這樣的小國，據說集合成了一個國家，該國某地遇到人禍大水，2000萬人口有1000萬受害，該國人民認為，沒什麼，我們人這麼多、地這麼大，這點人這點事不打緊。
以上來自某國部份人民邏輯。",
415,up主能把视频做成可以墙内转发的版本吗？我想转发,
416,那個水好髒哦！洪水退掉以後要是不消毒清潔過來的瘟疫是很可怕的，中國人民要是還繼續相信中共的話！那大家就等著死更多人反正之前武漢病毒🦠就死了那麼多人不怕，中共爸爸認為不怕我們什麼不多人最多，⋯⋯大家自求多福吧！,
417,"年年發生水災，絕對是問題。誠實面對問題，才有解決的可能（先進的民主國家，沒有每年受災的）。中共只會大內宣，大外宣，不會把人民的痛苦擺在心上。
把中共推翻下來，成立一個民主的政府，才有可能確實地改善水災災情。
從這個角度來看，“暴政不亡，天怒不止”是有道理的。
請中國人民努力推翻中共，不要再無辜地承受這種沒必要的天災人禍。",
418,中國政府都不管人民死活嗎？這些都不是人命嗎？,
419,大陸人民要堅強，人心要改變自己。,
420,"自然的力量，不是人類可抗衡。
防預，以減傷亡，別怨天尤人。",
421,不明白。为什么会突然爆发，即使暴雨涨水也要几小时吧。12小时雨量300毫米也就是30厘米啊。,1
422,人不照天理 天不照甲子. 是哪個癩蛤蟆說[人定勝天]的? 隨著人類的能力越來越強製造的[人禍]會把天災等比放大.天文學家就證實三峽大壩開始蓄水後地球自轉慢了0.002秒在311日本大地震後又恢復轉速.接著四川大地震還有幾乎百年不地震的區域[震不停].由特殊材料組成的黨並無法[人定勝天]啦.,
423,人民に罪はなし国政をあずかる者の心の邪念が天変地異となり罪もない者達へと降りかかるか哀れ憐れ,
424,受灾的政府会有补助，洪水是自然灾害，和政府无关，无脑喷子可以消停了,
425,恩施是三峡上游，这水还是要流到三峡的,3
426,假的 都是美帝的电影特效 污蔑我大中共国不要没有底线！大水没冲到我家就都是假的 假的 假的！新闻上没说就是假的！,3
427,你的這個頻道的名字起的很棒,2
428,這就是那個愛國女F4的家鄉咩？,1
429,傻了这些人，被人泄洪淹了还说是因为天热的原因,1
430,習近平你怎能還不來看看呢？這裡不是中國嗎？,1
431,"看到大陸人說這是少事，國內根本沒有領導出來說明問題，新聞沒有廣泛報告，GDP上升 ？全世界GDP 都下降15％以上，國內靠生產，，但沒有外國訂單，又何以提升GDP,  怪不得這麼大陸去看簫若元，政府提升GDP 唯有印大量抄票，安排大量無謂工程上馬。",
432,"唉，真的很難過，我小的時候也是這樣，一淹就淹到二樓，還有接過空投包……
看了一些中國的影片，真的覺得中國人民為了說要挺政府，我都看不下去。他們人們真的很善良，但他們政府真的很無良！
逼著他們連最基本人權都沒了！單單保護人民生命與人民財產都做不到！
雖然真的很討厭共產黨這個爛政府，但天佑中國，別在讓他們受苦受難！",2
433,当我们这代水利人拼命的在为水利事业奋斗，在为国家和人民奉献的时候，总tm有人背后插你刀子，去查查水文年鉴，对比对比发达国家水利工程，我们的基础建设还有一定差距，三峡修建之后，去看看水文年鉴，和历史资料，受灾情况明显好转，防洪效益可观，我真tm真想弄死你们这帮恨国党，不接受辩驳，想辩先把水文及水利计算原理搞懂再说🧐,
434,不笑天灾，不笑人祸，你们连最基本的道德都没有了吗？,
435,'那又如何？繼續有黨才有家？-,1
